Annandale, 7 10N, 58 29W, Pomeroon-Supenaam
La Bonne Mere, 6 39N, 57 56W, Demerara-Mahaica
Lacytown, 6 49N, 58 10W, Demerara-Mahaica
La Grange, 6 46N, 58 12W, Essequibo Islands-West Demerara
La Harmonie, 6 37N, 58 13W, Essequibo Islands-West Demerara
La Heureuse Adventure, 6 48N, 58 10W, Demerara-Mahaica
La Jalousie, 6 51N, 58 15W, Essequibo Islands-West Demerara
La Jeanette, 6 39N, 57 54W, Mahaica-Berbice
Laluni, 6 32N, 58 06W, Demerara-Mahaica
Lamaha Gardens, 6 48N, 58 08W, Demerara-Mahaica
Lamaha Park, 6 47N, 58 08W, Demerara-Mahaica
Lamaha Springs, 6 47N, 58 07W, Demerara-Mahaica
Lana, 6 30N, 58 17W, Demerara-Mahaica
Lancaster, 6 43N, 57 56W, Demerara-Mahaica
Lancaster, 6 13N, 57 19W, East Berbice-Corentyne
Land of Canaan, 6 36N, 58 12W, Demerara-Mahaica
Land of Lust, 6 31N, 57 48W, Mahaica-Berbice
Land of Plenty, 7 14N, 58 29W, Pomeroon-Supenaam
La Parfaite Harmonie, 6 46N, 58 14W, Essequibo Islands-West Demerara
La Penitence, 6 48N, 58 10W, Demerara-Mahaica
La Printemps, 6 35N, 57 48W, Mahaica-Berbice
La Reconnaissance, 6 48N, 58 02W, Demerara-Mahaica
La Resource, 6 44N, 58 15W, Essequibo Islands-West Demerara
La Resource, 7 23N, 58 31W, Pomeroon-Supenaam
La Retraite, 6 44N, 58 12W, Essequibo Islands-West Demerara
Larimakabra, 6 47N, 58 29W, Essequibo Islands-West Demerara
Le Desir, 6 46N, 58 16W, Essequibo Islands-West Demerara
Le Destin, 6 52N, 58 24W, Essequibo Islands-West Demerara
Leeds,  6 04N, 57 11W, East Berbice-Corentyne
Leert Zorgen, 6 35N, 58 14W, Essequibo Islands-West Demerara
L’Enterprise, 6 02N, 57 36W, East Berbice-Corentyne
L’Enterprise, 6 34N, 57 48W, Mahaica-Berbice
Leonora, 6 52N, 58 17W, Essequibo Islands-West Demerara
Le Ressouvenir, 6 49N, 58 04W, Demerara-Mahaica
Lesbeholden, 6 09N, 57 18W, East Berbice-Corentyne
L’Esperance, 6 46N, 58 17W, Essequibo Islands-West Demerara
Lethem, 3 23N, 59 48W, Upper Takutu-Upper Essequibo
Letter Kenny, 6 14N, 57 19W, East Berbice-Corentyne
Letter T, 6 32N, 57 44W, Mahaica-Berbice
Lewis Manor, 6 17N, 57 29W, East Berbice-Corentyne
Leyden, 6 19N, 58 18W, Essequibo Islands-West Demerara
L’Heureuse Adventure, 6 46N, 58 14W, Essequibo Islands-West Demerara
Lichfield, 6 28N, 57 40W, Mahaica-Berbice
Light Town, 6 10N, 57 38W, East Berbice-Corentyne
Lilienburg, 5 42N, 57 47W, Upper Demerara-Berbice
Liliendaal, 6 49N, 58 07W, Demerara-Mahaica
Lillydale, 7 32N, 58 40W, Pomeroon-Supenaam
Lima, 7 17N, 58 29W, Pomeroon-Supenaam
Limlair, 6 13N, 57 17W, East Berbice-Corentyne
Linden, 6 00N, 58 18W, Upper Demerara-Berbice
Little Baiabu, 6 33N, 57 53W, Mahaica-Berbice
Little Bleyendaal, 6 13N, 57 29W, East Berbice-Corentyne
Little Diamond, 6 44N, 58 11W, Demerara-Mahaica
Little Massiah, 5 56N, 57 09W, East Berbice-Corentyne
Liverpool, 6 13N, 57 18W, East Berbice-Corentyne
Lochaber, 6 14N, 57 30W, East Berbice-Corentyne
Lodge, 6 48N, 58 09W, Demerara-Mahaica
Lodge Housing Scheme, 6 48N, 58 08W, Demerara-Mahaica
Lookabu, 6 48N, 58 29W, Essequibo Islands-West Demerara
Look Out, 6 51N, 58 27W, Essequibo Islands-West Demerara
L’Oratoire, 6 46N, 58 14W, Essequibo Islands-West Demerara
Lower Simerie, 5 56N, 58 19W, Upper Demerara-Berbice
Lowlands, 6 44N, 57 58W, Demerara-Mahaica
Low Wood, 6 24N, 58 17W, Demerara-Mahaica
Lucky Spot, 5 59N, 58 19W, Upper Demerara-Berbice
Lumidpau, 2 24N, 59 26W, Upper Takutu-Upper Essequibo
L’Union, 7 11N, 58 29W, Pomeroon-Supenaam
Lusignan, 6 48N, 58 03W, Demerara-Mahaica
Mabaruma, 8 12N, 59 47W, Barima-Waini
Mabura Hill, 5 18N, 58 42W, Upper Demerara-Berbice
Macedonia, 6 10N, 57 14W, East Berbice-Corentyne
Mackenzie, 6 00N, 58 17W, Upper Demerara-Berbice
Macmarburg, 6 23N, 58 19W, Essequibo Islands-West Demerara
Macouba, 6 22N, 57 47W, Mahaica-Berbice
Mahaica, 6 41N, 57 55W, Demerara-Mahaica
Mahaicabally, 5 57N, 58 20W, Upper Demerara-Berbice
Mahaicony, 6 34N, 57 48W, Mahaica-Berbice
Mahdia, 5 17N, 59 09W, Potaro-Siparuni
Mainstay, 7 14N, 58 29W, Pomeroon-Supenaam
Mainstay Lake, 7 14N, 58 32W, Pomeroon-Supenaam
Makeshift, 7 01N, 58 29W, Pomeroon-Supenaam
Makouria, 6 28N, 58 35W, Essequibo Islands-West Demerara
Malali, 5 37N, 58 21W, Upper Demerara-Berbice
Manchester, 6 14N, 57 18W, East Berbice-Corentyne
Manilla, 6 40N, 57 53W, Mahaica-Berbice
Mara, 3 36N, 59 32W, Upper Takutu-Upper Essequibo
Ma Retraite, 6 02N, 57 36W, East Berbice-Corentyne
Maria, 6 09N, 57 38W, East Berbice-Corentyne
Maria, 5 48N, 57 44W, Upper Demerara-Berbice
Maria Agnetta, 5 39N, 57 47W, Upper Demerara-Berbice
Maria Henrietta, 5 37N, 57 52W, Upper Demerara-Berbice
Maria Johanna, 6 56N, 58 28W, Essequibo Islands-West Demerara
Maria’s Delight, 7 23N, 58 32W, Pomeroon-Supenaam
Maria’s Delight, 7 24N, 58 36W, Pomeroon-Supenaam
Maria’s Lodge, 6 38N, 58 13W, Essequibo Islands-West Demerara
Maria’s Lodge, 7 07N, 58 29W, Pomeroon-Supenaam
Maria’s Pleasure, 6 58N, 58 26W, Essequibo Islands-West Demerara
Maripa, 6 46N, 58 30W, Essequibo Islands-West Demerara
Marlborough, 7 29N, 58 38W, Pomeroon-Supenaam
Marowa, 6 27N, 58 02W, Demerara-Mahaica
Marudi, 2 16N, 59 11W, Upper Takutu-Upper Essequibo
Maruranau, 2 45N, 59 10W, Upper Takutu-Upper Essequibo
Mary, 6 50N, 58 13W, Essequibo Islands-West Demerara
Mary, 6 35N, 57 48W, Mahaica-Berbice
Mary and Eliza, 6 40N, 57 56W, Demerara-Mahaica
Mary’s Hope, 6 04N, 57 11W, East Berbice-Corentyne
Maryville, 6 55N, 58 25W, Essequibo Islands-West Demerara
Mashabo, 7 03N, 58 33W, Pomeroon-Supenaam
Massara, 3 53N, 59 18W, Upper Takutu-Upper Essequibo
Massiah, 5 56N, 57 09W, East Berbice-Corentyne
Matope, 6 24N, 58 45W, Cuyuni-Mazaruni
Matthews Ridge, 7 30N, 60 10W, Barima-Waini
McDoom, 6 47N, 58 10W, Demerara-Mahaica
McKenzie, 6 47N, 58 10W, Demerara-Mahaica
Melville, 3 45N, 59 36W, Upper Takutu-Upper Essequibo
Meriwau, 3 02N, 59 43W, Upper Takutu-Upper Essequibo
Mervil, 6 17N, 57 26W, East Berbice-Corentyne
Mes Delices, 6 46N, 58 15W, Essequibo Islands-West Demerara
Mes Delices, 6 40N, 57 53W, Mahaica-Berbice
Met en Meerzorg, 6 53N, 58 20W, Essequibo Islands-West Demerara
Meyer Beck, 5 33N, 57 56W, East Berbice-Corentyne
Middleburg Welvaren, 6 12N, 57 38W, Mahaica-Berbice
Middlesex, 6 44N, 58 15W, Essequibo Islands-West Demerara
Middlesex, 7 03N, 58 29W, Pomeroon-Supenaam
Mindenburg, 6 06N, 58 15W, Demerara-Mahaica
Mocha, 6 44N, 58 09W, Demerara-Mahaica
Mocha, 3 20N, 59 40W, Upper Takutu-Upper Essequibo
Moleson Creek, 5 47N, 57 10W, East Berbice-Corentyne
Mon Bijou, 6 46N, 58 15W, Essequibo Islands-West Demerara
Mon Choisi, 6 18N, 57 33W, Mahaica-Berbice
Mon Desir, 6 44N, 58 16W, Essequibo Islands-West Demerara
Monkers, 7 33N, 58 41W, Pomeroon-Supenaam
Monkey Mountain, 4 29N, 59 41W, Potaro-Siparuni
Mon Repos, 6 48N, 58 03W, Demerara-Mahaica
Mon Repos, 5 42N, 57 46W, Upper Demerara-Berbice
Montrose, 6 49N, 58 05W, Demerara-Mahaica
Moorpark, 6 27N, 57 39W, Mahaica-Berbice
Mora, 6 50N, 58 27W, Essequibo Islands-West Demerara
Moraikobe, 6 06N, 57 57E, Mahaica-Berbice
Mora Point, 6 23N, 57 47W, Mahaica-Berbice
Morasi, 6 45N, 58 30W, Essequibo Islands-West Demerara
Morawhanna, 8 16N, 59 45W, Barima-Waini
Moreiro, 3 55N, 59 33W, Upper Takutu-Upper Essequibo
Mortice, 6 30N, 57 48W, Mahaica-Berbice
Naamryck, 6 50N, 58 26W, Essequibo Islands-West Demerara
Naarstigheid, 6 23N, 57 36W, Mahaica-Berbice
Nabaclis, 6 45N, 57 59W, Demerara-Mahaica
Nappi, 3 25N, 59 34W, Upper Takutu-Upper Essequibo
Neuchatel, 6 40N, 57 55W, Mahaica-Berbice
Neville, 6 09N, 57 13W, East Berbice-Corentyne
New Aanlegt, 6 44N, 58 16W, Essequibo Islands-West Demerara
New Amsterdam, 6 15N, 57 31W, East Berbice-Corentyne
New Belle Plaine, 6 57N, 58 27W, Essequibo Islands-West Demerara
Newburg, 6 48N, 58 10W, Demerara-Mahaica
New Calcutta, 5 52N, 57 09W, East Berbice-Corentyne
New Forest, 6 11N, 57 26W, East Berbice-Corentyne
New Foundout, 6 24N, 58 35W, Upper Demerara-Berbice
New Friendship, 6 57N, 58 28W, Essequibo Islands-West Demerara
New Haven, 6 49N, 58 08W, Demerara-Mahaica
New Hope, 6 41N, 58 11W, Demerara-Mahaica
New Levant, 5 37N, 57 52W, Upper Demerara-Berbice
New Ma Retraite, 6 02N, 57 36W, East Berbice-Corentyne
New Market, 5 58N, 57 09W, East Berbice-Corentyne
New Providence, 6 31N, 57 48W, Mahaica-Berbice
New Rising Sun, 6 13N, 57 29W, East Berbice-Corentyne
New Saint Eustatius, 6 28N, 58 19W, Demerara-Mahaica
Newtown, 6 49N, 58 08W, Demerara-Mahaica
New Vigilante, 6 03N, 57 35W, East Berbice-Corentyne
Nigg, 6 16N, 57 23W, East Berbice-Corentyne
Nile, 7 29N, 58 37W, Pomeroon-Supenaam
Nismes, 6 45N, 58 12W, Essequibo Islands-West Demerara
Nog Eens, 6 48N, 58 03W, Demerara-Mahaica
Noitgedacht, 6 46N, 58 16W, Essequibo Islands-West Demerara
Noitgedacht, 6 39N, 57 54W, Mahaica-Berbice
Noitgedacht, 6 00N, 58 18W, Upper Demerara-Berbice
Non Pariel Park, 6 49N, 58 10W, Demerara-Mahaica
Nooten Zuil, 6 45N, 57 58W, Demerara-Mahaica
North Cummingsburg, 6 49N, 58 10W, Demerara-Mahaica
North East La Penitence, 6 48N, 58 09W, Demerara-Mahaica
North Mackenzie, 6 47N, 58 08W, Demerara-Mahaica
Nouvelle Flanders, 6 49N, 58 12W, Essequibo Islands-West Demerara
Novar, 6 33N, 57 46W, Mahaica-Berbice
Now or Never, 6 36N, 57 49W, Mahaica-Berbice
